ID	logFC	Gene.symbol	Gene.title
211968_s_at	-0.3973491	HSP90AA1	heat shock protein 90 alpha family class A member 1
218755_at	-0.5656652	KIF20A	kinesin family member 20A
207316_at	0.51795431	HAS1	hyaluronan synthase 1
201531_at	0.33922207	ZFP36	ZFP36 ring finger protein
214550_s_at	0.37321088	TNPO3	transportin 3
201442_s_at	0.40922644	ATP6AP2	ATPase H+ transporting accessory protein 2
213462_at	0.44762033	NPAS2	neuronal PAS domain protein 2
218698_at	0.37875176	APIP	APAF1 interacting protein
200971_s_at	-0.46788357	SERP1	stress-associated endoplasmic reticulum protein 1
214217_at	0.50148515	GRM5	glutamate metabotropic receptor 5
204144_s_at	-0.62083166	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q
207395_at	0.53226479	BTN1A1	butyrophilin subfamily 1 member A1
201644_at	-0.49368092	TSTA3	tissue specific transplantation antigen P35B
210980_s_at	0.47340323	ASAH1	N-acylsphingosine amidohydrolase 1
211342_x_at	0.4331051	MED12	mediator complex subunit 12
217762_s_at	-0.62712979	RAB31	RAB31, member RAS oncogene family
1320_at	0.43645971	PTPN21	protein tyrosine phosphatase, non-receptor type 21
202772_at	0.30183276	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase
209758_s_at	0.38598118	MFAP5	microfibrillar associated protein 5
220471_s_at	0.51571491	MYCT1	myc target 1
211824_x_at	0.59577498	NLRP1	NLR family pyrin domain containing 1
218910_at	0.34677846	ANO10	anoctamin 10
206284_x_at	0.48627056	CLTB	clathrin light chain B
220376_at	0.52271161	LRRC19	leucine rich repeat containing 19
219029_at	-0.47645572	TMEM267	transmembrane protein 267
219186_at	0.44400905	ZBTB7A	zinc finger and BTB domain containing 7A
203662_s_at	0.30311794	TMOD1	tropomodulin 1
203424_s_at	0.98493814	IGFBP5	insulin like growth factor binding protein 5
218962_s_at	-0.45132386	TMEM168	transmembrane protein 168
218459_at	-0.32374421	TOR3A	torsin family 3 member A
218911_at	-0.7760693	YEATS4	YEATS domain containing 4
204962_s_at	-0.58534681	SLC35F6///CENPA	solute carrier family 35 member F6///centromere protein A
203793_x_at	0.47374891	PCGF2	polycomb group ring finger 2
205625_s_at	0.44146897	CALB1	calbindin 1
218025_s_at	0.6225867	ECI2	enoyl-CoA delta isomerase 2
209764_at	0.53029702	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase
215016_x_at	0.4096479	DST	dystonin
207386_at	0.3470922	CYP7B1	cytochrome P450 family 7 subfamily B member 1
204373_s_at	-0.36649846	CEP350	centrosomal protein 350
213028_at	0.37762607	NFRKB	nuclear factor related to kappaB binding protein
222026_at	0.48199091	RBM3	RNA binding motif (RNP1, RRM) protein 3
204881_s_at	-0.48485161	UGCG	UDP-glucose ceramide glucosyltransferase
213425_at	-0.71626302	WNT5A	Wnt family member 5A
214910_s_at	0.48697948	APOM	apolipoprotein M
215108_x_at	-0.68673579	TOX3	TOX high mobility group box family member 3
206191_at	0.29617848	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3
210135_s_at	0.33919198	SHOX2	short stature homeobox 2
216015_s_at	0.3693695	NLRP3	NLR family pyrin domain containing 3
218144_s_at	0.30445501	INF2	inverted formin, FH2 and WH2 domain containing
207601_at	0.50786997	SULT1B1	sulfotransferase family 1B member 1
218705_s_at	-0.53652235	SNX24	sorting nexin 24
207508_at	0.51566729	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)
206720_at	0.33158292	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
203775_at	-0.52714815	SLC25A13	solute carrier family 25 member 13
201806_s_at	0.60378729	ATXN2L	ataxin 2 like
201518_at	-0.31815182	CBX1	chromobox 1
210962_s_at	-0.50134361	AKAP9	A-kinase anchoring protein 9
208580_x_at	-0.40070467	HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I	histone cluster 2, H4b///histone cluster 4, H4///histone cluster 2, H4a///histone cluster 1, H4l///histone cluster 1, H4e///histone cluster 1, H4b///histone cluster 1, H4h///histone cluster 1, H4c///histone cluster 1, H4j///histone cluster 1, H4k///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4a///histone cluster 1, H4i
208266_at	0.46958781	C8orf17	chromosome 8 open reading frame 17
208982_at	0.37950002	PECAM1	platelet and endothelial cell adhesion molecule 1
205325_at	0.39330179	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein
203657_s_at	0.46832638	CTSF	cathepsin F
208082_x_at	-0.32512828		
222058_at	0.52416676	RNF130	ring finger protein 130
212249_at	0.4027928	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
208067_x_at	0.45659758	UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked
220653_at	0.30644129	ZIM2///PEG3	zinc finger imprinted 2///paternally expressed 3
214908_s_at	0.49559592	TRRAP	transformation/transcription domain associated protein
201292_at	-0.72885959	TOP2A	topoisomerase (DNA) II alpha
206449_s_at	0.40788137	MASP1	mannan binding lectin serine peptidase 1
220696_at	-0.51383484		
214950_at	-0.46599712	IL9R	interleukin 9 receptor
202773_s_at	0.3608579	SFSWAP	splicing factor SWAP homolog
221723_s_at	0.48001293	SLC4A5	solute carrier family 4 member 5
212174_at	0.34759766	AK2	adenylate kinase 2
50221_at	0.29775113	TFEB	transcription factor EB
209876_at	0.45462327	GIT2	GIT ArfGAP 2
202528_at	-0.3067632	GALE	UDP-galactose-4-epimerase
38037_at	0.45153331	HBEGF	heparin binding EGF like growth factor
208716_s_at	-0.63695301	TMCO1	transmembrane and coiled-coil domains 1
212778_at	0.37794041	PACS2	phosphofurin acidic cluster sorting protein 2
214801_at	-0.4403664	TOR1AIP2	torsin 1A interacting protein 2
205070_at	0.33423808	ING3	inhibitor of growth family member 3
202953_at	0.58366434	C1QB	complement C1q B chain
200087_s_at	-0.4203731	TMED2	transmembrane p24 trafficking protein 2
216234_s_at	0.57835885	PRKACA	protein kinase cAMP-activated catalytic subunit alpha
218245_at	0.39566185	TSKU	tsukushi, small leucine rich proteoglycan
206275_s_at	0.38023408	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
221346_at	0.63220521	OR10J1	olfactory receptor family 10 subfamily J member 1
217934_x_at	0.7087812	STUB1	STIP1 homology and U-box containing protein 1
211848_s_at	0.33075588	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7
205188_s_at	0.55092954	SMAD5	SMAD family member 5
202046_s_at	0.32668275	ARHGAP35	Rho GTPase activating protein 35
216986_s_at	0.35128659	IRF4	interferon regulatory factor 4
213695_at	0.51813941	PON3	paraoxonase 3
213147_at	0.4271312	HOXA10	homeobox A10
201229_s_at	0.46310703	ARIH2	ariadne RBR E3 ubiquitin protein ligase 2
206997_s_at	0.47920443	HS6ST1	heparan sulfate 6-O-sulfotransferase 1
208788_at	0.45205837	ELOVL5	ELOVL fatty acid elongase 5
202150_s_at	0.3561683	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
203095_at	-0.3899812	MTIF2	mitochondrial translational initiation factor 2
204099_at	-0.42237683	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
216636_at	0.53592501		
214598_at	-0.90625051	CLDN8	claudin 8
216942_s_at	0.31404728	CD58	CD58 molecule
205304_s_at	0.52189919	KCNJ8	potassium voltage-gated channel subfamily J member 8
219046_s_at	0.38944704	PKNOX2	PBX/knotted 1 homeobox 2
219643_at	0.61275191	LRP1B	LDL receptor related protein 1B
201542_at	0.40005503	SAR1A	secretion associated Ras related GTPase 1A
213463_s_at	0.44493316	FAM149B1	family with sequence similarity 149 member B1
214610_at	0.31521339	CYP11B1	cytochrome P450 family 11 subfamily B member 1
216802_at	0.38776112		
205725_at	0.49606117	SCGB1A1	secretoglobin family 1A member 1
221424_s_at	0.39690157	OR51E2	olfactory receptor family 51 subfamily E member 2
216620_s_at	0.39488737	ARHGEF10	Rho guanine nucleotide exchange factor 10
220753_s_at	0.33008395	CRYL1	crystallin lambda 1
35265_at	0.35499863	FXR2	FMR1 autosomal homolog 2
206792_x_at	-0.43241327	LOC729966///PDE4C	uncharacterized LOC729966///phosphodiesterase 4C
213275_x_at	-0.47875215	CTSB	cathepsin B
203654_s_at	-0.41605824	COIL	coilin
222061_at	0.40022039	CD58	CD58 molecule
213030_s_at	0.4972852	PLXNA2	plexin A2
210216_x_at	-0.38681024	RAD1	RAD1 checkpoint DNA exonuclease
209395_at	-105.845.688	CHI3L1	chitinase 3 like 1
210387_at	-0.77263779	HIST1H2BJ///HIST1H2BG	histone cluster 1, H2bj///histone cluster 1, H2bg
216407_at	0.463438	VAC14	Vac14, PIKFYVE complex component
220204_s_at	0.36839066	BMP8A	bone morphogenetic protein 8a
217436_x_at	-0.61246923	HLA-J	major histocompatibility complex, class I, J (pseudogene)
202861_at	0.3646787	MIR6883///PER1	microRNA 6883///period circadian clock 1
220492_s_at	0.48069978	OTOF	otoferlin
210327_s_at	0.54770188	AGXT	alanine-glyoxylate aminotransferase
207533_at	0.31895007	CCL1	C-C motif chemokine ligand 1
52078_at	0.31928394	TMEM222	transmembrane protein 222
206426_at	0.49463145	MLANA	melan-A
203539_s_at	0.41076638	GFAP	glial fibrillary acidic protein
214440_at	-0.4458932	NAT1	N-acetyltransferase 1
219660_s_at	0.38652804	ATP8A2	ATPase phospholipid transporting 8A2
203806_s_at	0.37802577	FANCA	Fanconi anemia complementation group A
201110_s_at	-0.68176747	THBS1	thrombospondin 1
203738_at	-0.36504574	C5orf22	chromosome 5 open reading frame 22
217388_s_at	-0.67230531	KYNU	kynureninase
206580_s_at	0.30966202	EFEMP2	EGF containing fibulin like extracellular matrix protein 2
218039_at	-0.35121132	NUSAP1	nucleolar and spindle associated protein 1
210449_x_at	0.48800129	MAPK14	mitogen-activated protein kinase 14
216415_at	0.52355028	DNAH3	dynein axonemal heavy chain 3
211967_at	-0.35040926	TMEM123	transmembrane protein 123
210139_s_at	0.44722868	PMP22	peripheral myelin protein 22
201593_s_at	-0.59033202	ZC3H15	zinc finger CCCH-type containing 15
203893_at	-0.46486183	AK6	adenylate kinase 6
203328_x_at	0.28598847	IDE	insulin degrading enzyme
218214_at	-0.48267385	ATG101	autophagy related 101
208227_x_at	0.34847563	ADAM22	ADAM metallopeptidase domain 22
208380_at	0.36033686	LBX1	ladybird homeobox 1
212788_x_at	0.36509804	FTL	ferritin light chain
213009_s_at	-0.44091443	TRIM37	tripartite motif containing 37
218195_at	-0.5284363	ARMT1	acidic residue methyltransferase 1
216563_at	0.32725202	ANKRD12	ankyrin repeat domain 12
218728_s_at	-0.55762121	CNIH4	cornichon family AMPA receptor auxiliary protein 4
207802_at	-0.86556407	CRISP3	cysteine rich secretory protein 3
217495_x_at	0.31374299	CALCA	calcitonin related polypeptide alpha
203138_at	-0.50142773	HAT1	histone acetyltransferase 1
205225_at	-0.48602454	ESR1	estrogen receptor 1
204244_s_at	-0.3953278	DBF4	DBF4 zinc finger
211677_x_at	0.37373897	CADM3	cell adhesion molecule 3
218806_s_at	-0.5138139	VAV3	vav guanine nucleotide exchange factor 3
222070_at	-0.36841567	DND1	DND microRNA-mediated repression inhibitor 1
204448_s_at	0.33914145	PDCL	phosducin like
203681_at	0.29890764	IVD	isovaleryl-CoA dehydrogenase
203809_s_at	0.45867719	AKT2	AKT serine/threonine kinase 2
