ID	logFC	Gene.symbol	Gene.title
207350_s_at	0.21240539	VAMP4	vesicle associated membrane protein 4
208967_s_at	0.18778571	AK2	adenylate kinase 2
213893_x_at	-0.20421118	PMS2P9///PMS2P5	PMS1 homolog 2, mismatch repair system component pseudogene 9///PMS1 homolog 2, mismatch repair system component pseudogene 5
215937_at	0.16373065	PTGDR	prostaglandin D2 receptor
203785_s_at	0.15759288	DDX28	DEAD-box helicase 28
217111_at	0.21655463	AMACR	alpha-methylacyl-CoA racemase
205442_at	-0.16548796	MFAP3L	microfibrillar associated protein 3 like
203777_s_at	-0.26257692	RPS6KB2	ribosomal protein S6 kinase B2
222041_at	0.17344474	OVCA2///DPH1	ovarian tumor suppressor candidate 2///diphthamide biosynthesis 1
34846_at	0.18722281	CAMK2B	calcium/calmodulin dependent protein kinase II beta
213831_at	-0.22474981	LOC100509457///HLA-DQA1	HLA class II histocompatibility antigen, DQ alpha 1 chain-like///major histocompatibility complex, class II, DQ alpha 1
211973_at	0.1796112	NUDT3	nudix hydrolase 3
214901_at	0.14587166	ZNF8	zinc finger protein 8
209626_s_at	0.22999965	OSBPL3	oxysterol binding protein like 3
209737_at	0.19373099	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
220003_at	-0.15981521	LRRC36	leucine rich repeat containing 36
209779_at	0.20090689	LLPH	LLP homolog, long-term synaptic facilitation
213639_s_at	-0.2192743	ZNF500	zinc finger protein 500
221805_at	0.28889124	NEFL	neurofilament, light polypeptide
212680_x_at	-0.1966058	PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B
214163_at	0.17911565	HSPB11	heat shock protein family B (small) member 11
214238_at	0.19587918	GDF7	growth differentiation factor 7
214546_s_at	0.2060946	PPAN-P2RY11///P2RY11	PPAN-P2RY11 readthrough///purinergic receptor P2Y11
214875_x_at	-0.26648222	APLP2	amyloid beta precursor like protein 2
212657_s_at	0.26061299	IL1RN	interleukin 1 receptor antagonist
202192_s_at	0.18866496	GAS7	growth arrest specific 7
220937_s_at	-0.21027892	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
209117_at	0.21469673	WBP2	WW domain binding protein 2
207407_x_at	0.21289691	CYP4A11	cytochrome P450 family 4 subfamily A member 11
205616_at	0.14999907	GALNT8///KCNA6	polypeptide N-acetylgalactosaminyltransferase 8///potassium voltage-gated channel subfamily A member 6
203695_s_at	0.14389408	DFNA5	DFNA5, deafness associated tumor suppressor
204541_at	0.23443296	SEC14L2	SEC14 like lipid binding 2
212883_at	0.20894585		
218027_at	-0.1637356	MRPL15	mitochondrial ribosomal protein L15
206900_x_at	0.16222038	ZNF253	zinc finger protein 253
214772_at	0.1534559	KIAA1549L	KIAA1549 like
205550_s_at	0.11589148	BRE	brain and reproductive organ-expressed (TNFRSF1A modulator)
221211_s_at	0.22096899	MAP3K7CL	MAP3K7 C-terminal like
219441_s_at	0.25913676	LRRK1	leucine rich repeat kinase 1
220179_at	0.16428531	DPEP3	dipeptidase 3
209810_at	-0.2219307	SFTPB	surfactant protein B
215681_at	0.18676385	KIAA1654	KIAA1654 protein
211646_at	0.15233257	LOC102725526///IGHM///IGHG3///IGHG2///IGHG1///IGHA1///IGH	uncharacterized LOC102725526///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
203271_s_at	0.13899031	UNC119	unc-119 lipid binding chaperone
215733_x_at	0.16159896	CTAG2	cancer/testis antigen 2
218548_x_at	-0.29142029	TEX264	testis expressed 264
221160_s_at	0.13925657	CABP5	calcium binding protein 5
209282_at	-0.2890363	PRKD2	protein kinase D2
204401_at	-0.19162698	KCNN4	potassium calcium-activated channel subfamily N member 4
219654_at	0.19845705	HACD1	3-hydroxyacyl-CoA dehydratase 1
211111_at	0.17010082	HGC6.3	uncharacterized LOC100128124
201609_x_at	0.20966033	ICMT	isoprenylcysteine carboxyl methyltransferase
204129_at	0.18690715	BCL9	B-cell CLL/lymphoma 9
220466_at	0.22588561	CCDC15	coiled-coil domain containing 15
208801_at	-0.15246245	SRP72	signal recognition particle 72
203099_s_at	0.13818285	CDYL	chromodomain Y-like
209669_s_at	-0.22491623	SERBP1	SERPINE1 mRNA binding protein 1
212517_at	0.12463921	ATRN	attractin
211045_s_at	0.23208863	KCNH6	potassium voltage-gated channel subfamily H member 6
214261_s_at	0.22810845	ADH6	alcohol dehydrogenase 6 (class V)
212959_s_at	-0.18694912	GNPTAB	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits
203931_s_at	0.2205327	MRPL12	mitochondrial ribosomal protein L12
205095_s_at	0.20513127	ATP6V0A1	ATPase H+ transporting V0 subunit a1
203152_at	0.18327184	MRPL40	mitochondrial ribosomal protein L40
209563_x_at	0.16462637	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
215418_at	0.14151993	PARVA	parvin alpha
220799_at	0.17190463	GCM2	glial cells missing homolog 2
221113_s_at	0.14183648	WNT16	Wnt family member 16
211491_at	0.2555143	ADRA1A	adrenoceptor alpha 1A
220777_at	0.14176469	KIF13A	kinesin family member 13A
217908_s_at	0.16296818	DCAF6	DDB1 and CUL4 associated factor 6
216487_at	0.22530823		
208652_at	-0.21102244	PPP2CA	protein phosphatase 2 catalytic subunit alpha
208194_s_at	0.17928987	STAM2	signal transducing adaptor molecule 2
210939_s_at	0.1868827	GRM1	glutamate metabotropic receptor 1
214395_x_at	0.18898199	EEF1D	eukaryotic translation elongation factor 1 delta
201812_s_at	0.12126643	C4orf46///TOMM7	chromosome 4 open reading frame 46///translocase of outer mitochondrial membrane 7
219314_s_at	0.14448059	ZNF219	zinc finger protein 219
204965_at	0.19027639	GC	GC, vitamin D binding protein
212459_x_at	0.28671452	SUCLG2	succinate-CoA ligase GDP-forming beta subunit
211184_s_at	0.16966073	USH1C	USH1 protein network component harmonin
219266_at	0.17070588	ZNF350	zinc finger protein 350
206186_at	0.1883147	MPP3	membrane palmitoylated protein 3
220572_at	-0.27575964	LOC100506282	uncharacterized LOC100506282
209140_x_at	-0.31780127	HLA-B	major histocompatibility complex, class I, B
47083_at	-0.15144968	C7orf26	chromosome 7 open reading frame 26
203978_at	0.14554908	NUBP1	nucleotide binding protein 1
220554_at	0.17371091	SLC22A7	solute carrier family 22 member 7
203008_x_at	-0.23522927	TXNDC9	thioredoxin domain containing 9
207703_at	0.21461817	NLGN4Y	neuroligin 4, Y-linked
206971_at	0.13654144	GPR161	G protein-coupled receptor 161
206629_at	0.14151357	ADAMTSL2	ADAMTS like 2
203872_at	0.24878244	ACTA1	actin, alpha 1, skeletal muscle
216816_at	0.14685715		
204056_s_at	0.22357885	MVK	mevalonate kinase
217843_s_at	0.17877462	MED4	mediator complex subunit 4
215089_s_at	0.14766284	RBM10	RNA binding motif protein 10
208621_s_at	-0.19382118	EZR	ezrin
213612_x_at	-0.1403775	NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF12///NBPF14	neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 14
202058_s_at	0.16390277	KPNA1	karyopherin subunit alpha 1
218881_s_at	0.1289578	FOSL2	FOS like 2, AP-1 transcription factor subunit
202665_s_at	0.18856024	WIPF1	WAS/WASL interacting protein family member 1
220719_at	-0.17464763		
212524_x_at	0.23587064	H2AFX	H2A histone family member X
209636_at	0.1649432	NFKB2	nuclear factor kappa B subunit 2
221472_at	0.21010291	SERINC3	serine incorporator 3
215925_s_at	0.18246322	CD72	CD72 molecule
207174_at	0.20381874	GPC5	glypican 5
219594_at	0.29477603	NINJ2	ninjurin 2
221824_s_at	0.15475146	Mar-08	membrane associated ring-CH-type finger 8
216088_s_at	0.35785709	PSMA7	proteasome subunit alpha 7
216995_x_at	0.17752188	MKRN2	makorin ring finger protein 2
204726_at	-0.14920824	CDH13	cadherin 13
208535_x_at	0.14385235	COL13A1	collagen type XIII alpha 1 chain
204498_s_at	-0.16828063	ADCY9	adenylate cyclase 9
216492_at	0.14325997	KIR3DX1	killer cell immunoglobulin like receptor, three Ig domains X1
216898_s_at	0.15922336	COL4A3	collagen type IV alpha 3 chain
214464_at	0.20161417	CDC42BPA	CDC42 binding protein kinase alpha
216192_at	-0.21666592	FABP7	fatty acid binding protein 7
201492_s_at	-0.12834632	RPL41	ribosomal protein L41
217937_s_at	0.15054311	HDAC7	histone deacetylase 7
37586_at	0.21635391	ZNF142	zinc finger protein 142
214646_at	0.14581797	HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A	histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a
216208_s_at	-0.21393064	ATF6B	activating transcription factor 6 beta
209807_s_at	0.152597	NFIX	nuclear factor I X
220598_at	0.12905259	CARD14	caspase recruitment domain family member 14
203126_at	0.28202542	IMPA2	inositol monophosphatase 2
214856_at	-0.30319785	SPTBN1	spectrin beta, non-erythrocytic 1
211431_s_at	0.19331637	TYRO3	TYRO3 protein tyrosine kinase
217196_s_at	-0.2244723	CAMSAP2	calmodulin regulated spectrin associated protein family member 2
220406_at	0.30322691	TGFB2	transforming growth factor beta 2
219705_at	0.19869618	QSER1	glutamine and serine rich 1
215035_at	0.15242946	IGLV6-57	immunoglobulin lambda variable 6-57
220556_at	0.18102289	ATP1B4	ATPase Na+/K+ transporting family member beta 4
201154_x_at	0.18557155	SNORD18C///SNORD18B///SNORD18A///SNORD16///RPL4	small nucleolar RNA, C/D box 18C///small nucleolar RNA, C/D box 18B///small nucleolar RNA, C/D box 18A///small nucleolar RNA, C/D box 16///ribosomal protein L4
208284_x_at	-0.17892324	GGT2///GGTLC1///GGTLC2///GGT1	gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1
203481_at	-0.29250701	SLF2	SMC5-SMC6 complex localization factor 2
215836_s_at	0.16409504	PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3	protocadherin gamma subfamily A, 1///protocadherin gamma subfamily A, 2///protocadherin gamma subfamily A, 3///protocadherin gamma subfamily A, 4///protocadherin gamma subfamily A, 5///protocadherin gamma subfamily A, 6///protocadherin gamma subfamily A, 7///protocadherin gamma subfamily A, 9///protocadherin gamma subfamily A, 10///protocadherin gamma subfamily A, 11///protocadherin gamma subfamily B, 1///protocadherin gamma subfamily B, 2///protocadherin gamma subfamily B, 3///protocadherin gamma subfamily B, 5///protocadherin gamma subfamily B, 6///protocadherin gamma subfamily B, 7///protocadherin gamma subfamily C, 4///protocadherin gamma subfamily C, 5///protocadherin gamma subfamily A, 12///protocadherin gamma subfamily A, 8///protocadherin gamma subfamily B, 4///protocadherin gamma subfamily C, 3
221692_s_at	0.3111821	MRPL34	mitochondrial ribosomal protein L34
216709_at	0.20029333		
209536_s_at	0.13808829	EHD4	EH domain containing 4
206079_at	0.16246286	CHML	CHM like, Rab escort protein 2
209196_at	0.12863644	WDR46	WD repeat domain 46
213603_s_at	-0.27321245	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
217169_at	0.16871241	IGHM///IGHG1///IGHA1	immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 1
209124_at	-0.20889743	MYD88	myeloid differentiation primary response 88
206281_at	0.13535791	ADCYAP1	adenylate cyclase activating polypeptide 1
211758_x_at	-0.1939347	TXNDC9	thioredoxin domain containing 9
215388_s_at	0.28944466	CFHR1///CFH	complement factor H related 1///complement factor H
202717_s_at	0.14132785	CDC16	cell division cycle 16
204554_at	-0.18592791	PPP1R3D	protein phosphatase 1 regulatory subunit 3D
215161_at	0.12982542	CAMK1G	calcium/calmodulin dependent protein kinase IG
216505_x_at	0.14982427		
213310_at	0.15854485	CASC7///AGO2	cancer susceptibility candidate 7 (non-protein coding)///argonaute 2, RISC catalytic component
213523_at	-0.1810459	CCNE1	cyclin E1
215485_s_at	-0.16977824	ICAM1	intercellular adhesion molecule 1
207382_at	0.17087722	TP63	tumor protein p63
217872_at	-0.18290119	PIH1D1	PIH1 domain containing 1
216147_at	-0.30514909		
218465_at	-0.18817041	TMEM33	transmembrane protein 33
208648_at	0.12347901	VCP	valosin containing protein
208884_s_at	0.12440237	UBR5	ubiquitin protein ligase E3 component n-recognin 5
211349_at	0.14949093	SLC15A1	solute carrier family 15 member 1
212665_at	0.12215102	TIPARP	TCDD inducible poly(ADP-ribose) polymerase
213809_x_at	0.17809828	TCF3	transcription factor 3
208340_at	0.15914024	LOC643733	caspase 4, apoptosis-related cysteine peptidase pseudogene
218802_at	-0.33511126	MCUB	mitochondrial calcium uniporter dominant negative beta subunit
218675_at	0.17695389	SLC22A17	solute carrier family 22 member 17
216217_at	0.13473859	PLCL2	phospholipase C like 2
214585_s_at	-0.21067863	VPS52	VPS52, GARP complex subunit
217018_at	0.22955422	PDSS2	prenyl (decaprenyl) diphosphate synthase, subunit 2
213274_s_at	0.1417185	CTSB	cathepsin B
207670_at	0.16495458	KRT85	keratin 85
201787_at	0.19260177	FBLN1	fibulin 1
204666_s_at	0.25142894	SIKE1	suppressor of IKBKE 1
216962_at	0.24878572	RPAIN	RPA interacting protein
203811_s_at	0.1844633	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4
215456_at	0.17272287		
206441_s_at	-0.21298281	COMMD4	COMM domain containing 4
210259_s_at	0.1625332	DLX4	distal-less homeobox 4
206164_at	-0.28339048	CLCA2	chloride channel accessory 2
204572_s_at	0.14924442	PIN4	peptidylprolyl cis/trans isomerase, NIMA-interacting 4
207728_at	-0.23183916	ATF7IP	activating transcription factor 7 interacting protein
218975_at	0.1379555	COL5A3	collagen type V alpha 3 chain
219453_at	0.20946781	KLHL36	kelch like family member 36
211483_x_at	0.21319566	CAMK2B	calcium/calmodulin dependent protein kinase II beta
221198_at	0.16496226	SCT	secretin
207622_s_at	-0.22805243	ABCF2	ATP binding cassette subfamily F member 2
216996_s_at	0.1457343	FASTKD2	FAST kinase domains 2
220852_at	0.22160319	FOXN3-AS2	FOXN3 antisense RNA 2
215981_at	0.18332565	LOC100505534	uncharacterized LOC100505534
212060_at	-0.29385198	U2SURP	U2 snRNP associated SURP domain containing
215383_x_at	-0.13500805	SPG21	spastic paraplegia 21 (autosomal recessive, Mast syndrome)
214916_x_at	-0.25189986	IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHA2///IGHA1	immunoglobulin heavy variable 3-23///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1
207322_at	0.16783519	ITSN1	intersectin 1
213729_at	-0.1280281	PRPF40A	pre-mRNA processing factor 40 homolog A
218658_s_at	0.1926414	ACTR8	ARP8 actin-related protein 8 homolog
218936_s_at	0.25085409	CCDC59	coiled-coil domain containing 59
218759_at	0.16919192	DVL2	dishevelled segment polarity protein 2
212643_at	-0.13287503	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like
210110_x_at	-0.16336678	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3
208239_at	0.1364834	FOXE1	forkhead box E1
208364_at	0.15009099	INPP4A	inositol polyphosphate-4-phosphatase type I A
221768_at	-0.19692603	SFPQ	splicing factor proline and glutamine rich
209911_x_at	-0.15194957	HIST1H2BD	histone cluster 1, H2bd
204888_s_at	0.13794301	NEURL1	neuralized E3 ubiquitin protein ligase 1
201157_s_at	0.15209883	NMT1	N-myristoyltransferase 1
215286_s_at	0.23478738	PHTF2	putative homeodomain transcription factor 2
219852_s_at	0.17478869	MORN1	MORN repeat containing 1
209820_s_at	-0.21065839	TBL3	transducin beta like 3
202324_s_at	-0.14662969	ACBD3	acyl-CoA binding domain containing 3
203626_s_at	0.15236754	SKP2	S-phase kinase-associated protein 2, E3 ubiquitin protein ligase
217924_at	0.137348	C6orf106	chromosome 6 open reading frame 106
200804_at	-0.16675181	TMBIM6	transmembrane BAX inhibitor motif containing 6
221717_at	0.29978047		
200764_s_at	0.24087037	CTNNA1	catenin alpha 1
210307_s_at	-0.21676895	KLHL25	kelch like family member 25
214832_at	0.13014448	HNF4A	hepatocyte nuclear factor 4 alpha
216825_s_at	0.15949154	MPL	MPL proto-oncogene, thrombopoietin receptor
219352_at	-0.19614	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6
205026_at	0.16485518	STAT5B	signal transducer and activator of transcription 5B
215417_at	0.20415488	EXOC6B	exocyst complex component 6B
206377_at	0.13637242	FOXF2	forkhead box F2
217885_at	-0.18512627	IPO9	importin 9
204793_at	0.17971006	GPRASP1	G protein-coupled receptor associated sorting protein 1
213990_s_at	-0.16683278	PAK5	p21 (RAC1) activated kinase 5
201314_at	-0.21257436	STK25	serine/threonine kinase 25
218925_s_at	-0.21617999	C11orf1	chromosome 11 open reading frame 1
215148_s_at	0.20925229	APBA3	amyloid beta precursor protein binding family A member 3
219030_at	-0.28242176	TPRKB	TP53RK binding protein
212763_at	0.15286575	CAMSAP2	calmodulin regulated spectrin associated protein family member 2
219979_s_at	0.26276411	HIKESHI	Hikeshi, heat shock protein nuclear import factor
220306_at	-0.14750232	FAM46C	family with sequence similarity 46 member C
35436_at	0.12336819	GOLGA2	golgin A2
220332_at	0.12904266	CLDN16	claudin 16
207278_s_at	0.16354846	CD209	CD209 molecule
201171_at	0.21952013	ATP6V0E1	ATPase H+ transporting V0 subunit e1
217797_at	-0.3377321	UFC1	ubiquitin-fold modifier conjugating enzyme 1
208441_at	0.14696469	IGF1R	insulin like growth factor 1 receptor
217527_s_at	-0.15143774	NFATC2IP	nuclear factor of activated T-cells 2 interacting protein
203037_s_at	0.20695222	MTSS1	metastasis suppressor 1
205403_at	0.15582768	IL1R2	interleukin 1 receptor type 2
206970_at	0.16791984	CNTN2	contactin 2
211144_x_at	-0.21808467	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
204981_at	-0.23894762	SLC22A18	solute carrier family 22 member 18
216270_at	0.14384499	ILVBL	ilvB acetolactate synthase like
202561_at	0.20491847	TNKS	tankyrase
38158_at	-0.15955831	ESPL1	extra spindle pole bodies like 1, separase
220407_s_at	0.22239093	TGFB2	transforming growth factor beta 2
203941_at	0.16770048	INTS9	integrator complex subunit 9
204826_at	-0.21469909	CCNF	cyclin F
210420_at	0.16902548	SLC24A1	solute carrier family 24 member 1
203059_s_at	0.14396208	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2
220941_s_at	0.13271978	C21orf91	chromosome 21 open reading frame 91
209121_x_at	0.16556245	NR2F2	nuclear receptor subfamily 2 group F member 2
216151_at	0.29799611		
217242_at	0.21104723	ZNF154	zinc finger protein 154
207183_at	0.13100713	GPR19	G protein-coupled receptor 19
204758_s_at	0.11891252	C2CD2L	C2CD2 like
201351_s_at	-0.15401132	YME1L1	YME1 like 1 ATPase
203833_s_at	0.14337814	TGOLN2	trans-golgi network protein 2
204924_at	-0.15530119	TLR2	toll like receptor 2
201334_s_at	-0.21920871	ARHGEF12	Rho guanine nucleotide exchange factor 12
214812_s_at	-0.18031314	MOB1A	MOB kinase activator 1A
206532_at	0.22008896	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
204896_s_at	0.16537369	PTGER4	prostaglandin E receptor 4
221525_at	0.12381513	ZMIZ2	zinc finger MIZ-type containing 2
202702_at	-0.17361129	TRIM26	tripartite motif containing 26
206600_s_at	-0.22015556	SLC16A5	solute carrier family 16 member 5
211621_at	0.12994594	AR	androgen receptor
211139_s_at	0.14154404	NAB1	NGFI-A binding protein 1
221844_x_at	-0.13963942	SPCS3	signal peptidase complex subunit 3
206331_at	0.18520439	CALCRL	calcitonin receptor like receptor
214676_x_at	0.20368885	MUC3B	mucin 3B, cell surface associated
204499_at	0.12761041	AGTPBP1	ATP/GTP binding protein 1
219357_at	0.22455268	GTPBP1	GTP binding protein 1
200045_at	0.1895585	ABCF1	ATP binding cassette subfamily F member 1
206877_at	0.13826126	MXD1	MAX dimerization protein 1
219358_s_at	0.24315492	ADAP2	ArfGAP with dual PH domains 2
215143_at	0.17380077	DPY19L2P2	DPY19L2 pseudogene 2
215773_x_at	0.15222471	PARP2	poly(ADP-ribose) polymerase 2
209399_at	0.21134675	HLCS	holocarboxylase synthetase
205257_s_at	0.13760332	AMPH	amphiphysin
208963_x_at	0.1638924	MIR1908///FADS1	microRNA 1908///fatty acid desaturase 1
214195_at	0.1843412	TPP1	tripeptidyl peptidase 1
219455_at	0.12127446	CFAP69	cilia and flagella associated protein 69
207351_s_at	0.16698056	SH2D2A	SH2 domain containing 2A
201721_s_at	-0.21146463	LAPTM5	lysosomal protein transmembrane 5
201114_x_at	-0.37466219	PSMA7	proteasome subunit alpha 7
210516_at	-0.17794219	FAM120A	family with sequence similarity 120A
205989_s_at	0.31205014	MOG	myelin oligodendrocyte glycoprotein
209246_at	-0.26328418	ABCF2	ATP binding cassette subfamily F member 2
201874_at	0.13974696	MPZL1	myelin protein zero like 1
221177_at	0.14974988	MIA2	melanoma inhibitory activity 2
215203_at	-0.1970847	GOLGA4	golgin A4
212685_s_at	-0.16413258	TBL2	transducin (beta)-like 2
213302_at	-0.18863464	PFAS	phosphoribosylformylglycinamidine synthase
203294_s_at	0.1391559	LMAN1	lectin, mannose binding 1
201954_at	-0.20628797	ARPC1B	actin related protein 2/3 complex subunit 1B
210301_at	0.13619715	XDH	xanthine dehydrogenase
210549_s_at	0.20291134	CCL23	C-C motif chemokine ligand 23
211716_x_at	0.15193509	ARHGDIA	Rho GDP dissociation inhibitor alpha
213361_at	0.14454256	TDRD7	tudor domain containing 7
220735_s_at	0.21346042	SENP7	SUMO1/sentrin specific peptidase 7
204814_at	0.17985426	CADPS	calcium dependent secretion activator
217883_at	-0.21982042	MMADHC	methylmalonic aciduria and homocystinuria, cblD type
215348_at	0.17957129	ADCY1	adenylate cyclase 1
208626_s_at	0.14164524	VAT1	vesicle amine transport 1
216789_at	-0.18803458	TMEM92-AS1	TMEM92 antisense RNA 1
214351_x_at	-0.25394355	SNORD68///RPL13	small nucleolar RNA, C/D box 68///ribosomal protein L13
44669_at	0.2396376	SDHAF1	succinate dehydrogenase complex assembly factor 1
209872_s_at	0.17389963	PKP3	plakophilin 3
221320_at	0.23030367	BCL2L10	BCL2 like 10
210155_at	0.32411632	MYOC	myocilin
210864_x_at	0.17401491	HFE	hemochromatosis
210153_s_at	0.26841258	ME2	malic enzyme 2
213470_s_at	0.23001849	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 (H)
217524_x_at	-0.33152873		
201064_s_at	0.20024288	LOC100996696///PABPC4	polyadenylate-binding protein 4 pseudogene///poly(A) binding protein cytoplasmic 4
211391_s_at	0.13964543	PATZ1	POZ/BTB and AT hook containing zinc finger 1
200004_at	-0.15481426	EIF4G2	eukaryotic translation initiation factor 4 gamma 2
210273_at	0.16087405	PCDH7	protocadherin 7
207671_s_at	0.16891908	BEST1	bestrophin 1
210921_at	-0.20228791	LOC101929078	myb-related transcription factor, partner of profilin-like
207213_s_at	-0.19541089	USP2	ubiquitin specific peptidase 2
211866_x_at	0.17742486	HFE	hemochromatosis
211972_x_at	-0.1910876	RPLP0	ribosomal protein lateral stalk subunit P0
212938_at	0.14173326	COL6A1	collagen type VI alpha 1 chain
206301_at	0.18374353	TEC	tec protein tyrosine kinase
203073_at	0.15485549	COG2	component of oligomeric golgi complex 2
206857_s_at	0.18340746	FKBP1B	FK506 binding protein 1B
218932_at	-0.23755115	ZNHIT6	zinc finger HIT-type containing 6
217702_at	0.19255263	IL27RA	interleukin 27 receptor subunit alpha
203655_at	-0.19830159	XRCC1	X-ray repair cross complementing 1
218851_s_at	0.14841909	SFT2D3///WDR33	SFT2 domain containing 3///WD repeat domain 33
219604_s_at	0.21087005	ZNF3	zinc finger protein 3
220665_at	0.22923257	LUZP4	leucine zipper protein 4
202475_at	-0.20259966	TMEM147	transmembrane protein 147
204682_at	0.19056006	LTBP2	latent transforming growth factor beta binding protein 2
207067_s_at	0.19684127	HDC	histidine decarboxylase
208632_at	0.1649514	RNF10	ring finger protein 10
217327_at	0.17239265		
207226_at	0.20351549	HIST1H2BN	histone cluster 1, H2bn
217888_s_at	-0.13440638	ARFGAP1	ADP ribosylation factor GTPase activating protein 1
221936_x_at	0.20349068	MRPL41	mitochondrial ribosomal protein L41
206704_at	0.17830391	CLCN5	chloride voltage-gated channel 5
221480_at	-0.16788278	HNRNPD	heterogeneous nuclear ribonucleoprotein D
205736_at	-0.28402783	PGAM2	phosphoglycerate mutase 2
204008_at	-0.14389608	DNAL4	dynein axonemal light chain 4
201683_x_at	0.2099466	TOX4	TOX high mobility group box family member 4
211067_s_at	0.26812319	GAS7	growth arrest specific 7
212216_at	-0.1765248	PREPL	prolyl endopeptidase-like
217132_at	0.26013238		
208516_at	-0.27007631	MTNR1B	melatonin receptor 1B
205873_at	0.15355669	PIGL	phosphatidylinositol glycan anchor biosynthesis class L
219156_at	0.13818566	SYNJ2BP-COX16///SYNJ2BP	SYNJ2BP-COX16 readthrough///synaptojanin 2 binding protein
219830_at	0.20415891	RAI1	retinoic acid induced 1
202877_s_at	0.20450077	CD93	CD93 molecule
211834_s_at	0.14489686	TP63	tumor protein p63
220633_s_at	0.14007364	HP1BP3	heterochromatin protein 1 binding protein 3
204197_s_at	-0.176749	RUNX3	runt related transcription factor 3
216051_x_at	0.17443144	PRINS	psoriasis associated non-protein coding RNA induced by stress
209511_at	-0.26949941	POLR2F	RNA polymerase II subunit F
65635_at	0.12867454	ENGASE	endo-beta-N-acetylglucosaminidase
204472_at	0.12285413	GEM	GTP binding protein overexpressed in skeletal muscle
204821_at	0.19499471	BTN3A3	butyrophilin subfamily 3 member A3
220524_at	0.15244749	EPB41L4B	erythrocyte membrane protein band 4.1 like 4B
205129_at	-0.20355188	NPM3	nucleophosmin/nucleoplasmin 3
218765_at	0.15123045	SIDT2	SID1 transmembrane family member 2
204308_s_at	0.21752508	TECPR2	tectonin beta-propeller repeat containing 2
218343_s_at	-0.21985412	GTF3C3	general transcription factor IIIC subunit 3
221391_at	0.13355127	TAS2R14	taste 2 receptor member 14
213087_s_at	-0.21359983	EEF1D	eukaryotic translation elongation factor 1 delta
214400_at	-0.15657717	INSL3	insulin like 3
210416_s_at	-0.18055055	CHEK2	checkpoint kinase 2
211670_x_at	0.13166431	SSX3	SSX family member 3
206345_s_at	0.19136676	PON1	paraoxonase 1
207810_at	0.21926416	F13B	coagulation factor XIII B chain
220489_s_at	0.21626177	SERINC2	serine incorporator 2
211241_at	0.19459203	ANXA2P3	annexin A2 pseudogene 3
220302_at	-0.19347761	MAK	male germ cell associated kinase
215687_x_at	0.14616721	PLCB1	phospholipase C beta 1
